word,count,entity
community leaders,1,
african-australian,1,NORP
melbourne,1,GPE
media discussion,1,
african youths,1,
kudzai,2,ORG
deep,1,
suburbs,1,NORP
police siren wails,1,
figures clad,1,
black walk,1,
quiet street,1,
melbourne,3,PERSON
rapper ,1,
new track —,1,
tjay gonera,1,PERSON
papi,3,PERSON
hip hop,1,
kudzai chirunga,1,PERSON
fall asleep,1,
audio snippets,1,
commercial tv news reports,1,
melbourne,3,PERSON
african-australian,1,NORP
offenders.that ,1,
papi,3,PERSON
chirunga,2,PERSON
australian,1,NORP
zimbabwe,1,GPE
— flips,1,
young person,1,
african descent,1,
melbourne,3,PERSON
papi,3,PERSON
news reports,1,
african teens,1,
federal government,1,
victorian,1,NORP
state counterpart,1,
african,2,NORP
gang crime,1,
melbourne.but,1,
melburnians,1,NORP
african heritage,1,
victoria,1,
kudzai,2,ORG
facebook.the,1,
new releases playlists,1,
spotify,1,ORG
apple,1,
african,2,NORP
chirunga,2,PERSON
rn breakfast,1,ORG
people —,1,
door neighbour,1,
who,1,
current furore,1,
isolated.chirunga points,1,
gonera,1,PERSON
community condone,1,
australian,2,NORP
australian,2,NORP
whole —,1,
good ones,1,
african-australian,1,NORP
sampa,3,
year $,1,
australian,4,NORP
music prize,1,
amp,2,ORG
bee9,3,
sampa,3,
beaches,1,NORP
intimacy,1,
isolation,1,
darcy baylis,1,PERSON
chrome halo,1,PERSON
htmlflowers,1,ORG
jen cloher,2,PERSON
wallflower,1,ORG
jordan rakei,1,PERSON
tfcf,1,
liars,1,ORG
paul kelly,1,PERSON
vampires,1,PERSON
lionel loueke,1,
vampires.birds,1,
bee9,3,
rich meeting point,1,
sydney,1,GPE
zambia,1,GPE
australia,3,GPE
botswana,1,GPE
sampa tembo,1,PERSON
australian,4,NORP
remi,1,ORG
previous winner,1,
amp,2,ORG
melbourne,1,GPE
australia,3,GPE
award —,1,
thank,1,
good step,1,
tembo,1,
uncomfortable conversation,2,
australia,3,GPE
uncomfortable conversation,2,
music,1,
different backgrounds,2,
different backgrounds,2,
year prize,1,
13th.a panel,1,
music critics,1,
label representatives,1,
record store owners,1,
aria awards,1,
artist popularity,1,
australian,4,NORP
music prize rewards,1,
album —,1,
previous year —,1,
artistic merit,1,
major artists,1,
relative unknowns,1,
entry,1,
prize money,1,
particular impact,1,
unimaginable sum.it,1,
vote —,1,
sampa,3,
jen cloher,2,PERSON
australian,4,NORP
turn-up music,1,
mikey cahill,1,PERSON
bee9,3,
previous,1,
hip-hop duo,1,
a.b,1,
original,1,
fiery record,1,
reclaim australia,1,ORG
courtney barnett,1,PERSON
scary,1,
drones,1,ORG
augie march,1,ORG
hermitude,1,GPE
jezebels,1,
recent news reports,1,
african australian,3,NORP
melbourne,2,NORP
young men,1,
accelerating potential,1,
african australian,3,NORP
community leaders,1,
incubate,2,ORG
young people,4,
african background,1,
employment opportunities.co-founder,1,
zione walker-nthenda,1,PERSON
youth conference,1,
negative media representation [,1,
australian,1,NORP
youth ],1,
abc melbourne,1,
jon faine,1,
year ,1,
moomba,1,
melbourne,2,NORP
media attention,1,
african australian,1,NORP
ms walker-nthenda,4,WORK_OF_ART
weekend conference,1,
current conversation,1,
young people,4,
day-long conference,1,
youth speech competition,1,
young people,4,
whole range,1,
ms walker-nthenda,4,WORK_OF_ART
march,1,DATE
orange,1,ORG
black,1,
uzo aduba,1,PERSON
australia.ms walker-nthenda,1,
incubate,2,ORG
foundation events,1,
african australian,3,NORP
legal series,1,
african,1,NORP
law students,1,
employment pathways,1,
ms walker-nthenda,4,WORK_OF_ART
qcs,2,PRODUCT
legal professionals,1,
qcs,2,PRODUCT
young people,4,
final year students,1,
victorian,1,NORP
ms walker-nthenda,4,WORK_OF_ART
african,10,NORP
australian,2,NORP
irene bakulikira,1,PERSON
obviously,1,
african,10,NORP
whole life,1,
bakulikira,4,ORG
antigone,10,ORG
own mind,1,
antigone,10,ORG
young woman,1,
rebellious brother,1,
city ruler,1,
thebes-set,1,
greek playwright,1,
sophocles,1,NORP
bce,1,ORG
personal ethics versus,1,
family loyalty,1,
moral decency,1,
versus 'the law'.bakulikira,1,
cast members,2,
edge,7,
melbourne,3,PERSON
greek play,1,
antigone,10,ORG
melbourne,3,PERSON
may,1,DATE
geelong,1,GPE
courthouse,1,
centre,1,
new version,2,
antigone,10,ORG
thebes,2,GPE
victoria,2,GPE
african,10,NORP
cast members,2,
educational experience —,1,
bakulikira,4,ORG
rare outlet,1,
edge,7,
new version,2,
greek chorus,1,
thebes,2,GPE
modern state,1,
creon,3,PERSON
theban,1,ORG
antigone,10,ORG
polynices,2,
african,10,NORP
creon,3,PERSON
racial vilification,1,
public support,1,
antigone,10,ORG
haemon,2,NORP
touch melodramatic —,1,
media narrative,1,
african,10,NORP
.that narrative,1,
melbourne,3,PERSON
apex,1,PERSON
december,1,
african heritage,2,
theme —,1,
african,10,NORP
peter dutton,1,PERSON
sydney,1,GPE
radio station 2gb,1,
victoria,2,GPE
african,10,NORP
large numbers,1,
gangs gathering,1,
serious outcomes,1,
australia,1,GPE
african,10,NORP
victorian,1,NORP
african,10,NORP
craig gunguta,1,PERSON
polynices,2,
zimbabwe,1,GPE
[ coverage ] affects,1,
african,10,NORP
train stations,1,
gunguta,5,PERSON
edge,7,
gunguta,5,PERSON
minority people,1,
young people ...,1,
gunguta,5,PERSON
edge,7,
congolese-born eto masoka,1,
antigone,10,ORG
sister,1,
ismene,1,PERSON
feeling voiceless,1,
african-australian,1,NORP
theatre ],1,
're feeling,1,
edge,7,
young artists,1,
cultural leaders,1,
young people,1,
antigone,10,ORG
bakulikira,4,ORG
gunguta,5,PERSON
masoka,1,GPE
unfamiliar territory,1,
finn lloyd,1,PERSON
creon,3,PERSON
throughout,1,
australian,2,NORP
[ production ] shows,1,
educational experience,1,
edge,7,
way —,1,
artistic director,1,
dave kelman,1,PERSON
beautiful thing,1,
lloyd,1,
people cultures,1,
culture,1,
bakulikira,4,ORG
edge,7,
antigone,10,ORG
generational one.through,1,
antigone,10,ORG
haemon,2,NORP
australian,1,NORP
african heritage,2,
gunguta,5,PERSON
catherine gukurume,1,PERSON
'm feeling,1,
bit anxious,1,
instructor hand,1,
tentative steps,1,
zimbabwean-born,1,
gukurume,1,
police officer,3,
police officer,3,
police officer,3,
says.police recruits,1,
victoria,3,GPE
academy.for,1,
ca n't,2,
massive obstacle,1,
fitness level,1,
metres ],1,
ms gukurume,3,PERSON
african-australian,1,NORP
police recruits,1,
saving victoria.another,1,
mella opiew,1,PERSON
australia,2,GPE
sudan,2,
guy —,1,
mr opiew,2,
opiew,2,
long way,1,
sudan,2,
zimbabwe,1,GPE
mr opiew,2,
ms gukurume,3,PERSON
australia,2,GPE
african,2,NORP
australian,1,NORP
victoria police.the,1,
ethnic groups,1,
state ,1,
cultural diversity.african-australian recruits,1,
important target demographic,1,
swim test.commander,1,
glenn weir,1,PERSON
victoria,3,GPE
people,1,
development command,1,
admission standards,1,
different ethnic groups,1,
swim test,2,
dam situations,1,
commander weir,1,
search,1,ORG
rescue,1,
victoria,3,GPE
day-to-day operations,1,
uniformed officers.it,1,
average police officer,1,
decade —,1,
ideal recruits,1,
target demographic,1,
police officers.regardless,1,
ms gukurume,3,PERSON
police force,1,
african,2,NORP
opiew,2,
swim test,2,
sudanese australian,1,
bow wave,1,
'he ,1,
ca n't,2,
islamic state-inspired,1,
dubbed,1,
trolley man,1,
michael rogers,1,PERSON
cult figure,1,
hours.the acclaim,1,
bourke,1,
street terrorist attack,1,
hassan khalif shire ali,1,PERSON
