word,count,entity
child future,1,
15-page resume,1,
chinese social media,1,
startling document,1,
ancient chinese poems,1,
english,8,LANGUAGE
world.the resume,1,
popular bilingual,1,
international school,1,
shanghai,6,GPE
weibo,1,GPE
children.shanghai mother,1,
jiang yin,1,PERSON
11-year-old daughter,1,
abc,2,ORG
competitive nature,1,
china,5,GPE
impressive resumes,1,
elaborate,1,
young children,1,
top schools,1,
dr xiong bingqi,1,
deputy head,1,
century education research institute,1,ORG
beijing,2,GPE
chinese parents,2,
ms jiang,3,PERSON
choice —,1,
kids,1,
musical instruments,1,
nine-year-old bobby zou,1,
niuwa,1,NORP
normal day,1,
bobby,9,PERSON
english,8,LANGUAGE
spanish lessons,1,
music lessons,1,
private bilingual school,2,
shanghai,6,GPE
english,8,LANGUAGE
harry potter,1,PERSON
series —,1,
english,8,LANGUAGE
english language testing,1,
ielts,1,ORG
benchmark test,1,
english,8,LANGUAGE
australian,1,NORP
international students,1,
english,8,LANGUAGE
winston churchill,1,
series,1,
world war —,1,
long —,1,
unique life track,1,
bobby,9,PERSON
good chance,1,
bobby,9,PERSON
mum,1,
joanna wang,1,PERSON
abc.his,1,ORG
bobby,9,PERSON
talent,1,
multinational executive,1,
bobby,9,PERSON
bobby,9,PERSON
abilities,1,
entrance test,1,
shanghai,6,GPE
top international schools,1,
ms wang,1,PERSON
different items,1,
example toys,1,
bobby,9,PERSON
bobby,9,PERSON
chinese students —,1,
international bilingual schools,1,
foreign nationals,1,
china,5,GPE
major cities,1,
beijing,2,GPE
shanghai,6,GPE
shenzhen,1,GPE
ambitious parents,1,
niuwas,1,GPE
total number,1,
bilingual schools,1,
china,5,GPE
beijing-based,1,
research firm,1,
newschool insight.chinese,1,
western teachers,1,
english,8,LANGUAGE
physical education,1,
western curricula,1,
baccalaureate.ms wang,1,
high hopes,1,
bilingual education,1,
bobby,9,PERSON
international view,1,
ivy,1,
dr hannah soong,1,
australia,2,GPE
abc,2,ORG
major factor,1,
australia,2,GPE
job outcomes,1,
china,5,GPE
international-bilingual school system focuses,1,
china,5,GPE
dr soong,3,
english,8,LANGUAGE
different ways,1,
school curriculum,1,
dr soong,3,
chinese parents,2,
average annual tuition fee,1,
extracurricular classes,1,
parents need,1,
considerable resources,1,
business owners,1,
personal drivers,1,
dr soong,3,
private bilingual school,2,
good school zone,1,
good schools,1,
old flat,1,
square metres,1,
ms jiang,3,PERSON
shanghai,6,GPE
average annual wage,1,
shanghai,6,GPE
official government figures,1,
ms jiang,3,PERSON
barry shying,4,PERSON
nick,2,PERSON
unique surname,1,
barry,3,PERSON
melbourne,1,PERSON
sydney,2,GPE
barry,3,PERSON
mak sai ying,2,WORK_OF_ART
chinese-born,1,
australia,9,GPE
chinese community,1,
australia,9,GPE
barry shying,4,PERSON
mak sai ying,2,WORK_OF_ART
australia,9,GPE
public records.mr,1,
mak,2,
john shying,4,PERSON
jackson,1,
laurel,1,ORG
february,1,
— decades,1,
gold rush,1,
chinese people travel,1,
australia.he,1,
chinese city,1,
canton,1,GPE
guangdong,1,GPE
australia,9,GPE
english,1,LANGUAGE
john blaxland,1,PERSON
laurel.he,1,
elizabeth macarthur,1,PERSON
australia,9,GPE
wool industry,1,
john macarthur.after,1,
mr mak,3,PERSON
successful entrepreneur,1,
own right,1,
peacock,1,
parramatta,2,GPE
blaxland,2,GPE
mr mak,3,PERSON
respectable character,1,
mak,2,
weekly wage,1,
blaxland,2,GPE
workers received.dr,1,
kate bagnall,1,PERSON
wollongong,1,
early chinese settlement,1,
australia,9,GPE
early chinese free settlers,1,
sydney,2,GPE
small number,1,
large number,1,
europeans,1,
john shying,4,PERSON
mr mak,3,PERSON
irish migrant,1,
sarah jane thompson,1,PERSON
china,9,GPE
dr bagnall,1,ORG
family obligations,1,
china,9,GPE
chinese men,1,
china,9,GPE
shying,1,GPE
australia,9,GPE
china,9,GPE
australian,2,NORP
china,9,GPE
barry shying,4,PERSON
australian,2,NORP
early 1830s —,1,
china,9,GPE
australia,9,GPE
historical,1,
john shying,4,PERSON
barry,3,PERSON
parramatta,2,GPE
australia,9,GPE
john shying,4,PERSON
descendants,1,
furniture making,1,
adjusting,1,
chinese ancestry,1,
interesting experience,1,
barry shying,4,PERSON
ca n't,1,
'his blood,1,
nick shying,1,PERSON
chinese media spotlight,1,
chinese heritage,1,
family history,2,
nick,2,PERSON
high school,1,
china,9,GPE
study tour,1,
local chinese community,1,
way others,1,
family history,2,
china,9,GPE
family roots,1,
china,9,GPE
country ,1,
public records,1,
huge home,1,
beverly,1,
california,1,GPE
states.the palazzo,1,
amore,1,GPE
mediterranean-style,1,
private vineyard,1,
city skyline,1,
canyons.the 12-bedroom,1,
23-bathroom home,1,
modern castle,1,
real estate firm,1,
coldwell banker.its,1,
bob ray offenhauser,1,PERSON
alberto pinto.interior,1,
square metre entertainment,1,
tennis court,1,
27-car garage,1,
real estate entrepreneur,1,
jeff greene,1,PERSON
chinese-australian,1,NORP
mei sze chan,1,PERSON
real estate executive.mr,1,
greene,1,
republican,1,NORP
primary race,1,
ronald reagan.in,1,
democrat,1,NORP
florida,1,GPE
unsuccessful.several years,1,
pledge,1,
philanthropic causes,1,
science fiction,3,
sydney,2,GPE
sun,5,ORG
account manager,1,
waverley,2,ORG
sydney,2,GPE
imitation pistols,1,
glock,1,GPE
sig,1,
air pistols,1,
computer equipment,1,
3d printers.sun,1,
various offences,1,
3d printer.at,1,
bail hearing,1,
waverley,2,ORG
local court,1,
sun,5,ORG
solicitor,1,
jason keane,1,PERSON
science fiction fan,1,
police shows,2,
ncis,1,ORG
video games,1,
call,1,
duty,1,
fanboy relationship,1,
science fiction,3,
police shows,2,
mr keane,1,PERSON
pointy end,1,
serious activity,1,
sun,5,ORG
such serious charges,1,
simply,1,
science fiction,3,
comic books,1,
n't show,1,
prosecutor argued.sun,1,
australian,1,NORP
chinese passports.new,1,
wales,1,
time police,1,
inspector joe doueihi,1,
sun,5,ORG
social media,1,
nsw,1,
manufacture firearms,1,
great concern,1,
3d printer,1,
criminal offence,1,
own peril,1,
serious criminal offence,1,
sun,5,ORG
april.nsw,1,
andrew scipione,1,PERSON
interstate counterparts,1,
world hardest,3,
g20,10,
australian,2,NORP
g20,10,
brisbane,1,GPE
world hardest,3,
g20,10,
abc,1,ORG
australia,10,GPE
g20,10,
average score,1,
world hardest,3,
g20,10,
average deviation,1,
correct response,1,
australia,10,GPE
ranking.here ,1,
unscientific way,1,
australia,10,GPE
place,1,
carbon dioxide,1,
australia,10,GPE
g20,10,
average response,4,
australia,10,GPE
russia,2,GPE
emissions stand,1,
metric tonnes,2,
australia,10,GPE
metric tonnes,2,
data,8,
world bank,2,
australian,2,NORP
chinese people,1,
gallup,2,ORG
fair bit,1,
g20,10,
data,8,
gallup,2,ORG
australian,2,NORP
average guess,1,
italy,2,GPE
gdp,1,
italy,2,GPE
russia,2,GPE
data,8,
world bank,2,
mps,1,
average response,4,
good dash,1,
upper,1,
data,8,
ipu,1,
average response,4,
australia,10,GPE
obesity rate,1,
country ,1,
true position,1,
g20,10,
data,8,
lancet,1,
eurostat,1,ORG
geohive,1,
quiz respondents guess,1,
australian,2,NORP
internet speeds,1,
g20,10,
data,8,
ookla,1,
equal men,1,
australia,10,GPE
average response,4,
data suggests,1,
australia,10,GPE
data,8,
forum,1,
transparency,2,
international corruption,1,
perception index,1,
australia,10,GPE
top marks,1,
g20,10,
public sector,1,
be.the average response,1,
data,8,
transparency,2,
tim leslie,1,
sarah scopelianos,1,PERSON
colin gourlay,1,PERSON
ben spraggon,1,PERSON
lucy fahey,1,PERSON
matthew liddy,1,PERSON
australia,5,GPE
global financial crisis,1,
huge stimulus program,1,
china.chinese,1,
australian,1,NORP
chinese economy,2,
data points,1,
real impact,1,
julian evans-pritchard,1,PERSON
china,12,GPE
capital economics,1,
current strength [,1,
] economy,1,
china,12,GPE
official growth figures,1,
current level,1,
mr evans-pritchard,4,PERSON
china,12,GPE
economy,2,
government stimulus program,1,
significant stimulus,1,
said.china debt load,1,
trillion dollars,1,
ratings agency,1,
moody,1,
china,12,GPE
debt,1,
total volume,1,
greg mckenna,1,PERSON
chief market strategist,1,
axitrader,1,ORG
mr evans-pritchard,4,PERSON
china,12,GPE
free market economy,1,
financial crisis —,1,
honestly,1,
china,12,GPE
free market economy [,1,
significant role,1,
financial system,1,
chinese stimulus,1,
gfc,1,ORG
australia,5,GPE
mr mckenna,1,PERSON
chinese money,1,
property price boom,1,
eastern states.mr,1,
evans-pritchard,1,ORG
real risk,1,
chinese ] regulators,1,
capital outflows,1,
chinese ] economy,1,
significant pressures,1,
according,1,
dr kathleen walsh,1,
anu,1,ORG
china,12,GPE
excessive capital,1,
china,12,GPE
business acumen,1,
capital flight,1,
mr evans-pritchard,4,PERSON
chinese firms,2,
presence overseas,1,
speculative investment,1,
chinese firms,2,
foreign football clubs [,1,
chinese families buying overseas properties,1,
reserve bank governor,1,
philip lowe,1,PERSON
china,12,GPE
capital inflows,1,
capital account,1,
exchange rate,1,
domestic financial system,1,
walsh,1,PERSON
china,12,GPE
stock market crash,1,
mr evans-pritchard,4,PERSON
china,12,GPE
economy falters,1,
australia,5,GPE
economy,2,
obvious candidate,1,
global crisis,1,
china,12,GPE
australia,5,GPE
exposure,1,
chinese economy,2,
australia,5,GPE
economic growth,1,
world ,1,
frosty morning,1,
june,3,
burrangong,2,GPE
wales,3,
brass band,1,
britannia,1,
bloody scalps,1,
chinese men,1,
anti-chinese riots,1,
10-month period,1,
november,2,
september,1,
june,3,
lambing flat riots.they,1,
race riots,1,
australian,3,NORP
severe case,1,
anti-chinese demonstrations,1,
violence.the legacy,1,
lambing flat riots,5,
australia policy,2,
burrangong affray,5,
centre,2,
art.4a,1,
mikala tai,1,PERSON
micheal,1,
australian,3,NORP
featuring,1,
mixed-media artworks,1,
australian,3,NORP
jason phu,2,PERSON
john,2,
zerunge,6,
burrangong affray,5,
three-part project,1,
artist residency,1,
community consultation,1,
young.as,1,
legacy publication,1,
young.on,1,
long white wall,1,
photographic prints,1,
john,2,
zerunge,6,
archival images,1,
rush,1,
contemporary photographs,1,
currawong,2,GPE
chinese gold miners,1,
james roberts,2,PERSON
june,3,
gathering.from amongst,1,
tragic events,1,
lambing flats,1,ORG
zerunge,6,
important act,1,
roberts,1,
whole event,1,
wing websites,1,
lambing flat riots,5,
success story,1,
artist reflects.young,1,
zerunge,6,
post-modernist world,1,
says.the artist acknowledges,1,
chinese migrants,1,
complicit role,1,
australia,1,GPE
wiradjuri exists.a,1,
jason phu,2,PERSON
entire ground floor,1,
video documentation,1,
phu,4,GPE
zerunge,6,
residency,1,
gallery wall.on,1,
drop sheets,1,
flag-like shapes,1,
flag depicts,1,
playful variation,1,
chinese characters,1,
english,1,LANGUAGE
phu,4,GPE
roll up,3,
lambing flat folk museum.he,1,
roll up,3,
roll up,3,
st andrew,1,
cross,1,
five-point stars,1,
southern cross,1,
roll ups,1,
violent public meetings,1,
gold miners,1,
chinese immigration,2,
roll-ups,1,
sundays,1,DATE
'd organise,1,
chinese [ miners ],1,
phu,4,GPE
emotional response,1,
flag ],1,
artist role,1,
truth —,1,
… [,1,
lambing flat riots,5,
england,1,GPE
ireland,1,GPE
scotland,1,GPE
america,2,GPE
germany,1,GPE
chinese miners,1,
burrangong,2,GPE
zerunge,6,
[ event ],1,
trump,1,
america,2,GPE
us economy,1,
phu,4,GPE
contemporary resonances,1,
[ country ] story,1,
violence ],1,
phd,1,
dr karen schamberger,1,
burrangong affray,5,
crucially,1,
australia policy.anti-chinese,1,
nsw,1,
lambing flat riots,5,
n't pass,1,
chinese workers,1,
useful traders,1,
chinese immigration,2,
potential solution,1,
labour shortage,1,
wales,3,
direct response,1,
lambing flat riots,5,
chinese immigration act,1,
wales,3,
november,2,
restriction,1,
australia policy,2,
chinese immigrants,1,
furniture trade.both,1,
tai,2,PERSON
schamberger,1,ORG
emotional part,1,
burrangong affray,5,
young community,1,
burnt offering —,1,
chinese-taoist,1,
historical sites,1,
blackguard gully,1,PERSON
main chinese encampments burnt,1,
james roberts,2,PERSON
currawong,2,GPE
chinese cemetery,1,
murrumbarrah,1,GPE
tai,2,PERSON
hilltops,1,
] council,1,
permanent monuments,1,
site ],1,
fantastic outcome,1,
burrangong affray,5,
august,1,
centre,2,
art,1,
sydney,1,GPE
government proposal,2,
aviation industries,1,
foreign companies,1,
chris berg.it,1,
economic disputes,1,
modern debates,1,
environment.two issues,1,
week show,1,
warren truss,1,PERSON
government plan,1,
australia,9,GPE
coastal shipping industry,1,
australian financial review,1,
domestic air routes,1,
foreign airlines.i,1,
coastal shipping,2,
cabotage rights,3,
century term,1,
transport passengers,1,
country.the issue,1,
cabotage rights,3,
airways,1,
domestic routes,2,
australia,9,GPE
australian,13,NORP
ship goods,1,
brisbane,1,GPE
sydney,1,GPE
so.australia cabotage restrictions,1,
economic activity,1,
foreign firms,2,
australia,9,GPE
protectionist policy,1,
competitive pressure,1,
economic growth.let ,1,
coastal shipping.over,1,
australian,13,NORP
coastal shipping,2,
dramatic decline,1,
australian,13,NORP
coastal trade,1,
truss,1,PERSON
heavy burden,1,
australian,13,NORP
industrial relations laws,1,
maritime workers,1,
australian,13,NORP
parliamentary committee,1,
australian,13,NORP
maritime industry,1,
australia,9,GPE
coastal shipping sector,1,
maritime,1,
australia,9,GPE
australian,13,NORP
coastal ships.so,1,
gillard,1,ORG
large package,1,
shipping industry,1,
foreign vessels,1,
australian,13,NORP
albanese,2,NORP
infrastructure minister,1,
protectionist purpose,1,
australian,13,NORP
australian,13,NORP
australian,1,NORP
australian,13,NORP
australian,13,NORP
productivity commission head,1,
gary,1,
competition policy,1,
economic liberalisation,1,
decades.it worth,1,
competition policies,1,
paul keating,1,PERSON
labor government,1,
old commentary canard,1,
modern labor party,1,
hawke-keating,1,
true.like shipping,1,
comprehensive liberalisations,1,
travellers pause,1,
domestic air,1,
qantas,2,PERSON
australia,9,GPE
rich country,1,
surely,1,
foreign airlines,3,
melbourne-sydney,1,
government proposal,2,
foreign airlines,3,
domestic routes,2,
australia,9,GPE
region-specific liberalisations,1,
experimental tests,1,
nation-wide reform,1,
airline deregulation,1,
qantas,2,PERSON
rearguard action,1,
albanese,2,NORP
complains deregulation,1,
economic disarmament,1,
.it ,1,
cabotage rights,3,
foreign airlines,3,
australia,9,GPE
northern experiment,1,
abbott,1,
government reforms,1,
cabotage liberalisation,2,
cabotage liberalisation,2,
transport technology,1,
autonomous cars,1,
challenge regulatory frameworks,1,
autonomous ships,1,
autonomous planes,1,
industries.it sounds,1,
pilotless ships,1,
australian,13,NORP
cabotage protectionism,1,
labour costs means pilotless ships,1,
cheap shipping,1,
pilotless commercial aircraft,1,
old alliance,1,
air services unions,1,
underpins labor opposition,1,
technological revolution occurs,1,
foreign firms,2,
australia,9,GPE
20th century anachronisms,1,
berg,1,
senior fellow,1,
recent book,1,
liberty,1,
equality,1,
democracy,1,
connor,1,
chrisberg,1,
abbott,3,
free trade agreements,3,
korea,2,GPE
japan,2,GPE
china,4,GPE
australia,2,GPE
chris berg.the,1,
central lesson,1,
tariff liberalisation,1,
own tariffs,1,
high barriers,1,
china-australia,1,
free trade agreement,1,
fta,2,ORG
fta,2,ORG
chinese tariffs,1,
australian,7,NORP
infant formula,1,
four-year period.the,1,
age,1,
formula market,1,
australian,7,NORP
australian dairy,1,
industry council,1,
chinese consumers.access,1,
quality infant formula,1,
serious problem,1,
china,4,GPE
international scandal,1,
budget infant formula firm,1,
industrial chemicals,1,
fake protein content.more,1,
chinese parents,1,
formula imports,1,
hong kong,1,GPE
macau,1,GPE
chinese tourists,1,
chinese formula market,1,
australian,7,NORP
real winners,1,
chinese people,1,
government dairy protectionism.a lot,1,
trade discussions,1,
consumers fare.of course,1,
demand parts,1,
economic equation.but,1,
adam smith,1,PERSON
consumption,1,
sole end,1,
australian,7,NORP
dairy firms,1,
chinese families,1,
fta.it,1,PERSON
free trade,1,
two-party trade agreements.for,1,
academic level,1,
own trade barriers,1,
political nous,1,
conceptual clarity,1,
trade liberalisation,1,
bilateral level,1,
bad thing,1,
anything,1,
trade liberalisation benefits,1,
foremost suggests,1,
ftas,2,
australian,7,NORP
china,4,GPE
market access,1,
australian,7,NORP
australia,2,GPE
china,4,GPE
foreign investment guidelines,1,
tony abbott,1,PERSON
foreign markets,1,
bad way,1,
political coalition,1,
bilateral trade negotiation process,1,
domestic reform,1,
unilateral changes,1,
bargaining chip.but,1,
abbott,3,
bill shorten,1,PERSON
pro-free trade,1,
fine print,1,
ftas,2,
domestic policy,1,
playing,1,
tough negotiator,1,
own reform program,1,
australian,7,NORP
free trade agreements,3,
coalition,1,ORG
gillard,1,ORG
'asian century,1,
abbott,3,
free trade agreements,3,
korea,2,GPE
japan,2,GPE
china.chris berg,1,
policy director,1,
recent book,1,
defence,1,
speech,1,
greece,1,
andrew bolt,1,PERSON
twitter,1,
@ chrisberg,1,
full profile,1,
federal court judge,1,
abc,1,ORG
fairfax,2,GPE
mp,1,
proof allegations,1,
chau chak wing,1,PERSON
chinese-australian,1,NORP
political donor,1,
media organisations,1,
nick mckenzie,1,PERSON
corners,1,
online story,1,
june,1,
chau,2,ORG
general assembly,1,
john ashe.the abc,1,
fairfax,2,GPE
may,1,DATE
mp andrew hastie,1,
parliamentary privilege,2,
mr chau,4,PERSON
ashe,1,PERSON
interlocutory hearing,1,
steven rares,1,PERSON
media companies,3,
parliamentary privilege,2,
mr hastie,1,PERSON
said.the court,1,
mr chau,4,PERSON
mr ashe,1,PERSON
rares,5,PERSON
mr chau,4,PERSON
billions …,1,
said.the media companies,1,
peter,1,
sc,1,
asio,1,ORG
australian,1,NORP
political parties,1,
mr chau,4,PERSON
federal parliament,1,
australia,1,GPE
national security laws,1,
ulterior motives.however justice,1,
rares,5,PERSON
national security,1,
mr,1,
chau,2,ORG
china,1,GPE
chinese communist,1,
party.mr,1,
conventional notion,1,
present world,1,
james bond,1,PERSON
soft power,1,
.but justice,1,
rares,5,PERSON
foreign interference,1,
problem …,1,
rares,5,PERSON
rares,5,PERSON
media companies,3,
huge claims,1,
court processes,1,
media companies,3,
mr mckenzie,1,PERSON
chinese media organisation,1,
abc,16,ORG
australia,3,GPE
national broadcaster,1,
agressive attitude,1,
china,9,GPE
global,4,
abc,16,ORG
website,1,
china,9,GPE
china,9,GPE
laws,1,
chinese government,2,
abc,16,ORG
global,4,
abc,16,ORG
western world,1,
.the paper,1,
abc,16,ORG
chinese language website aims,1,
chinese society,1,
western freedom,1,
abc,16,ORG
china,9,GPE
abc,16,ORG
canberra,1,ORG
beijing,1,GPE
abc,16,ORG
newspaper editorial.the,1,
global,4,
tabloid subsidiary,1,
people ,1,
chinese communist party ,1,
official mouthpiece.it,1,
