word,count,entity
barry shying,4,PERSON
nick,2,PERSON
unique surname,1,
barry,3,PERSON
melbourne,1,PERSON
sydney,2,GPE
barry,3,PERSON
mak sai ying,2,WORK_OF_ART
chinese-born,1,
australia,9,GPE
chinese community,1,
australia,9,GPE
barry shying,4,PERSON
mak sai ying,2,WORK_OF_ART
australia,9,GPE
public records.mr,1,
mak,2,
john shying,4,PERSON
jackson,1,
laurel,1,ORG
february,1,
— decades,1,
gold rush,1,
chinese people travel,1,
australia.he,1,
chinese city,1,
canton,1,GPE
guangdong,1,GPE
australia,9,GPE
english,1,LANGUAGE
john blaxland,1,PERSON
laurel.he,1,
elizabeth macarthur,1,PERSON
australia,9,GPE
wool industry,1,
john macarthur.after,1,
mr mak,3,PERSON
successful entrepreneur,1,
own right,1,
peacock,1,
parramatta,2,GPE
blaxland,2,GPE
mr mak,3,PERSON
respectable character,1,
mak,2,
weekly wage,1,
blaxland,2,GPE
workers received.dr,1,
kate bagnall,1,PERSON
wollongong,1,
early chinese settlement,1,
australia,9,GPE
early chinese free settlers,1,
sydney,2,GPE
small number,1,
large number,1,
europeans,1,
john shying,4,PERSON
mr mak,3,PERSON
irish migrant,1,
sarah jane thompson,1,PERSON
china,9,GPE
dr bagnall,1,ORG
family obligations,1,
china,9,GPE
chinese men,1,
china,9,GPE
shying,1,GPE
australia,9,GPE
china,9,GPE
australian,2,NORP
china,9,GPE
barry shying,4,PERSON
australian,2,NORP
early 1830s —,1,
china,9,GPE
australia,9,GPE
historical,1,
john shying,4,PERSON
barry,3,PERSON
parramatta,2,GPE
australia,9,GPE
john shying,4,PERSON
descendants,1,
furniture making,1,
adjusting,1,
chinese ancestry,1,
interesting experience,1,
barry shying,4,PERSON
ca n't,1,
'his blood,1,
nick shying,1,PERSON
chinese media spotlight,1,
chinese heritage,1,
family history,2,
nick,2,PERSON
high school,1,
china,9,GPE
study tour,1,
local chinese community,1,
way others,1,
family history,2,
china,9,GPE
family roots,1,
china,9,GPE
country ,1,
public records,1,
fiorente,1,ORG
australia,1,GPE
gai waterhouse,1,PERSON
melbourne,3,PERSON
cup victory,1,
ridden,1,
damien oliver,1,PERSON
six-year-old stallion,1,
cadeaux,1,
athos,1,
part,1,
barry pang,1,PERSON
australian,1,NORP
melbourne,3,PERSON
melbourne,3,PERSON
cup day,1,
race goers,1,
own silks,1,
flemington,1,GPE
huge home,1,
beverly,1,
california,1,GPE
states.the palazzo,1,
amore,1,GPE
mediterranean-style,1,
private vineyard,1,
city skyline,1,
canyons.the 12-bedroom,1,
23-bathroom home,1,
modern castle,1,
real estate firm,1,
coldwell banker.its,1,
bob ray offenhauser,1,PERSON
alberto pinto.interior,1,
square metre entertainment,1,
tennis court,1,
27-car garage,1,
real estate entrepreneur,1,
jeff greene,1,PERSON
chinese-australian,1,NORP
mei sze chan,1,PERSON
real estate executive.mr,1,
greene,1,
republican,1,NORP
primary race,1,
ronald reagan.in,1,
democrat,1,NORP
florida,1,GPE
unsuccessful.several years,1,
pledge,1,
philanthropic causes,1,
frosty morning,1,
june,3,
burrangong,2,GPE
wales,3,
brass band,1,
britannia,1,
bloody scalps,1,
chinese men,1,
anti-chinese riots,1,
10-month period,1,
november,2,
september,1,
june,3,
lambing flat riots.they,1,
race riots,1,
australian,3,NORP
severe case,1,
anti-chinese demonstrations,1,
violence.the legacy,1,
lambing flat riots,5,
australia policy,2,
burrangong affray,5,
centre,2,
art.4a,1,
mikala tai,1,PERSON
micheal,1,
australian,3,NORP
featuring,1,
mixed-media artworks,1,
