word,count,entity
cardiologist yadu singh,1,
indian state,1,
uttar pradesh.from,1,
rajput,1,PERSON
warrior background,1,
young boy,1,
singh,2,PERSON
medical training,1,
india,3,GPE
dr singh,7,PERSON
canberra,1,GPE
aside,1,
australia,5,GPE
strong believer,1,
eventually dr singh,1,
short-term visas,1,
australia,5,GPE
permanent resident visa,1,
singh,2,PERSON
dr singh,7,PERSON
commonwealth ombudsman,1,
such disputes,1,
months,1,
phone rang,1,
dr singh,7,PERSON
important demonstration,1,
australia,5,GPE
ultimate example,1,
bad apples,1,
indian students,1,
india,3,GPE
dr singh,7,PERSON
indian-australian,1,
community meeting,1,
indian consul,1,
mr amit dasgupta,1,ORG
media appearances,1,
community leader,2,
racist country,1,
dr singh,7,PERSON
australia,5,GPE
indian media,3,
indian media,3,
racist campaign,1,
australia,5,GPE
indian media,3,
dr singh,7,PERSON
prominent role,1,
indian-australian,1,
community members,1,
need arises.but,1,
dr singh,7,PERSON
india,3,GPE
community leader,2,
cardiologist suits,1,
ca n't,1,
personality transplant,1,
community work,1,
australian,8,NORP
dual heritage,1,
australia day,4,EVENT
indian republic,1,
day.one,1,
australia,6,GPE
british rule,1,
india.though,1,
different things,1,
national identity,1,
democratic nation,1,
colonial history,1,
indigenous,3,
yellow colours,1,
aboriginal,1,LOC
strong connection,1,
australian,8,NORP
jack,1,
southern cross,1,
word 'australia,1,
means outhern,1,
indian flag,1,
saffron colour,1,
white signifies peace,1,
strong,1,
australian,8,NORP
indian values,1,
ahimsa,1,PERSON
shakti,1,PERSON
satya,1,PERSON
australia,6,GPE
population,1,
unique opportunity,1,
australian,1,NORP
different nationalities,1,
australian,8,NORP
colourful spices,1,
good indian curry,1,
cultural diversity,1,
australia.the,1,
diverse backgrounds,1,
australian,8,NORP
australia,6,GPE
australia day,4,EVENT
ca n't,2,
australia day,4,EVENT
australian,8,NORP
indian republic day,2,DATE
australian,8,NORP
significant proportion,1,
indian population.on,1,
diverse women,1,
liberal premier,1,
nsw,1,ORG
armenian background,1,
gladys berejiklian mp,1,
ken wyatt mp,1,
indigenous,3,
federal ministry,1,
aged care,1,ORG
indigenous health.they,1,
multicultural success stories.india,1,
australia,6,GPE
prime minister,1,
australia-india,1,
business council,1,
national chair,1,
sheba nandkeolyar.as,1,
significant number,1,
government board appointments,1,
berejiklian,2,PERSON
merit.women participation,1,
nsw-based asx,1,
men,1,
leadership roles,1,
india,2,GPE
women labour participation rate,1,
violence,1,
significant problem,1,
australia,6,GPE
india,2,GPE
key priorities,1,
strong economy,1,
berejiklian,2,PERSON
sex discrimination,2,
leadership positions,1,
marital status,1,
significant economic arguments,1,
women participation,1,
according,1,
australian,8,NORP
intergenerational,1,
cent increase,1,
female participation,1,
australia,6,GPE
gdp,1,
subtle forms,1,
sex discrimination,2,
economic exploitation,1,
past decade.i,1,
harassment and/or discrimination,1,
such women,1,
precarious position,1,
vital source,1,
indigenous,3,
colonial roots,1,
problem.irrespective,1,
ca n't,2,
australia day,4,EVENT
indian republic day,2,DATE
sinha,1,
afr,1,
westpac,1,
influence,1,
award winner list,1,
award winner,1,
excellence,1,
journalism,1,
ribbon reference,1,
adelaide,5,NORP
eastern suburbs,1,
dance group gathers,1,
minute rehearsal,1,
weekend ,1,
mela,3,FAC
bollywood,5,GPE
group weave,1,
yesha joshi,1,
contemporary dance,1,
bollywood,5,GPE
different parts,1,
india,3,GPE
anglo-saxon,2,ORG
diverse group,1,
ms joshi,1,PERSON
adelaide,5,NORP
gujurat,1,ORG
years old.she,1,
australian,2,NORP
capital laps,1,
indian culture,3,
absolutely,1,
bollywood,5,GPE
indian curry,1,
indian culture,3,
engineer,1,PERSON
heena gupta,1,GPE
delhi,1,
australia,3,GPE
bollywood,5,GPE
bollywood,5,GPE
big part,1,
indian food,1,
australian,2,NORP
australia,3,GPE
iaasa,4,ORG
adireddy yara,1,PERSON
indian heritage,1,
adelaide.figures,1,
australia,3,GPE
india.iaasa,1,
diverse range,1,
indian immigrants,1,
iaasa,4,ORG
mela,3,FAC
dr jagdish saraf,1,
association president,1,
diverse culture,1,
india,3,GPE
continent —,1,
different cultures,1,
different foods,1,
dr saraf,2,
south indian food,1,
greek food,1,
anglo-saxon,2,ORG
dr saraf,2,
adelaide,5,NORP
india,3,GPE
late 1970s,1,
adelaide,5,NORP
city centre,1,
rundle,1,
indian community,1,
indian culture,3,
important cultures,1,
rajni madan,1,
iaasa,4,ORG
adelaide,5,NORP
chandigarh,1,ORG
said.the association,1,
wide range,1,
ethnic indian associations,1,
gujurati,1,GPE
telugu,1,GPE
tamil,1,NORP
south indian community members.but,1,
ms madan,1,PERSON
important role,1,
iaasa,4,ORG
diversity.that diversity,1,
mela,3,FAC
specific support,1,
australia,5,GPE
migrant communities,1,
address high rates,1,
domestic violence.while police,1,
record statistics,1,
family violence,4,
cultural backgrounds,1,
anecdotal evidence shows,1,
migrant communities.one immigrant,1,
australia,5,GPE
domestic violence,2,
rakhi,3,PERSON
talkaboutit,2,ORG
del irani.rakhi,1,
real name,1,
security reasons.the,1,
australia,5,GPE
indian-australian,1,
psychological abuse,2,
gender equality,1,
ready ...,1,
proper indian clothes,1,
rakhi,3,PERSON
psychological abuse,2,
marriage work,1,
new culture,1,
be,1,
particular colour,1,
particular lipstick,1,
phone apps,1,
email account,1,
online communications.it,1,
emotional abuse,1,
physical assault,1,
rakhi,3,PERSON
bad name,1,
dr mandula o'connor,1,
familiar story,1,
patriarchal issues,1,
genders —,1,
domestic violence,2,
dr o'connor,2,
australia,5,GPE
cultural awareness course,1,
new migrants,1,
family violence services,1,
australian,1,NORP
rosie batty,1,PERSON
federal government plans,1,
vital support services,1,
support children,1,
ms batty,2,PERSON
ca n't,1,
family violence,4,
ms batty,2,PERSON
family violence,4,
luke,1,PERSON
february,1,DATE
o'connor,1,PERSON
male attitudes,1,
migrant communities,2,
family violence,4,
decent men,1,
migrant communities,2,
decent men increase,1,
dr o'connor,2,
whole #,1,
talkaboutit,2,ORG
aedt,1,ORG
abc,1,
iview afterwards,1,
australia,5,GPE
light candles,1,
diwali,1,PERSON
australia,14,GPE
bamboo ceiling.diwali,1,
hindu,1,
lights,2,
clay pots,1,
lights,2,
new clothes,1,
deepavali,1,PERSON
appropriate time,1,
australia,14,GPE
australian,10,NORP
present composition,1,
australia,14,GPE
australia,14,GPE
population,1,
unique opportunity,1,
australia,14,GPE
different cultures,1,
australian,2,NORP
different nationalities,1,
australian,10,NORP
outer vices,1,
ignorance dim,1,
australia,14,GPE
subtle,1,
casual racism seeps,1,
australia,14,GPE
public places,1,
busy café,1,
prominent member,1,
jewish community,1,
rude tone,1,
differential treatment,1,
different form,1,
australia,14,GPE
australia,14,GPE
successful multicultural country,1,
inherent part,1,
discrimination,1,
versus 'black,1,
english,1,LANGUAGE
australian,10,NORP
national language,1,
australian,10,NORP
inner light,1,
