word,count,entity
lebanese,3,NORP
abla amad,1,PERSON
own restaurant,1,
melbourne,2,PERSON
cosmopolitan,1,
carlton,1,GPE
authentic food,1,
cookbook author,1,
that.as part,1,
year ,1,
australia day,1,EVENT
ms amad,3,PERSON
member,1,
australia,3,GPE
significant service,1,
australian lebanese,1,
abla,1,ORG
lebanese,3,NORP
melbourne,2,PERSON
institution.its exterior,1,
honour,1,
beautiful thing,1,
happy ...,1,
beautiful country,1,
beautiful people,1,
ms amad,3,PERSON
lebanon,1,GPE
australia,3,GPE
george,1,PERSON
joe,2,PERSON
years earlier.here,1,
lebanese-australian,1,
john,1,PERSON
joe,2,PERSON
lebanese,3,NORP
australia,3,GPE
friends home,1,
italians,1,NORP
jews,1,NORP
multicultural suburb,1,
carlton.ms amad,1,
feed people,1,
'm cooking,1,
important part,1,
[ people,1,
cook ],1,
amad,1,PERSON
competitive hospitality industry,1,
new things,1,
little girl,1,
recently abla,1,
british chef,1,
heston blumenthal,1,PERSON
culinary skills,1,
kitchen ...,1,
ms amad,3,PERSON
daughter-in-law [,1,
restaurant ],1,
fine,1,
craig campbell,2,PERSON
cronulla,6,ORG
young middle eastern men,1,
train station,3,
craig greenhill,1,PERSON
craig campbell,2,PERSON
cronulla,6,ORG
mr campbell,7,PERSON
police officer,1,
nsw,4,
bad feeling,1,
infamous day,1,
woolooware,1,PERSON
train station,3,
8:30-9:00am —,1,
vodka,1,PRODUCT
cruiser,1,PERSON
lunchtime …,1,
australian,1,NORP
lebanese-australian,1,
western suburbs.then reports,1,
ugly …,1,
mediterranean,1,LOC
mr greenhill,4,PERSON
crowd —,1,
whispers,1,
'there ,1,
lebanese,1,NORP
cronulla,6,ORG
cronulla,6,ORG
train station,3,
mr greenhill,4,PERSON
mr campbell,7,PERSON
police officers,1,
young men ],1,
mr greenhill,4,PERSON
old-school cop,1,
young blokes,2,
safety …,1,
medical attention,1,
mr campbell,7,PERSON
say,1,
young blokes,2,
mr greenhill,4,PERSON
mr campbell,7,PERSON
front page,1,
locals,1,
mr campbell,7,PERSON
cronulla,6,ORG
redneck idiots,1,
cronulla,6,ORG
police station,1,
